15000 3000
25 19 90
106 71 0
145 69 45
113 97 45
259 262 135
90 248 0
272 294 0
93 157 135
216 85 0
53 278 0
220 110 90
270 240 0
216 259 0
105 220 0
183 33 45
5 57 90
135 106 90
84 257 45
92 202 0
78 126 135
161 227 0
197 275 90
231 288 45
146 180 135
278 41 0
260 85 135
27 242 90
132 88 45
273 257 135
140 25 135
82 7 0
17 23 0
291 26 135
70 205 135
19 96 0
53 8 45
12 231 135
55 205 45
132 182 90
217 188 45
138 39 135
215 37 135
11 163 0
283 115 90
14 167 90
210 280 90
37 85 135
87 117 45
231 283 90
116 228 135
68 80 90
93 69 0
134 191 45
203 267 0
59 260 135
21 169 45
113 146 90
43 178 45
120 49 90
292 141 90
273 152 135
217 227 0
247 90 45
70 261 0
238 57 135
44 247 0
283 38 45
37 87 90
215 124 135
244 134 0
36 72 135
172 150 0
284 197 90
3 281 0
156 283 0
177 167 135
296 260 90
10 163 45
13 272 135
263 247 90
1 79 90
176 175 45
133 81 45
11 260 0
40 41 0
87 151 90
16 59 45
102 20 0
46 269 90
150 200 90
141 299 135
71 294 0
55 238 90
222 258 135
102 79 45
88 118 0
273 32 0
82 184 135
143 121 90
172 7 135
87 258 45
162 59 45
264 162 0
22 173 0
284 98 45
264 151 0
256 69 135
260 175 0
77 177 90
164 55 45
199 47 45
113 293 90
132 172 90
172 125 90
218 97 135
20 138 90
130 255 45
130 207 45
222 133 90
199 156 90
245 286 0
298 230 0
56 209 0
29 233 45
208 87 135
268 39 0
178 74 0
164 264 45
245 13 135
176 259 0
47 45 90
204 210 90
23 261 135
275 125 45
164 45 0
104 238 90
169 120 45
69 101 135
283 128 90
81 32 90
69 273 135
56 266 0
41 76 0
188 251 90
190 274 0
247 99 0
252 259 135
185 197 135
169 31 90
136 150 45
218 235 90
60 67 135
140 231 45
63 113 135
122 14 90
278 142 0
257 235 45
216 67 135
295 181 90
33 241 135
214 274 0
7 1 90
117 268 45
191 127 90
58 22 135
101 192 135
181 29 90
239 174 0
58 144 90
204 161 45
261 210 135
282 157 90
159 106 90
163 83 90
142 38 0
276 267 90
114 131 90
184 298 135
101 194 45
263 31 0
249 53 90
119 10 135
107 252 0
156 7 90
75 167 45
229 202 45
15 241 0
91 149 45
101 267 135
133 229 0
107 13 135
156 191 0
163 153 135
97 131 45
89 165 90
262 280 90
201 103 0
224 25 0
89 136 135
182 205 90
279 39 135
36 25 0
250 299 0
275 249 90
43 125 135
51 67 90
71 122 90
57 136 90
157 224 0
16 246 90
59 182 45
21 296 90
238 161 90
79 197 135
92 2 0
154 110 45
125 158 45
79 200 135
11 55 135
207 299 0
251 198 135
206 185 135
59 259 45
290 125 0
165 116 135
127 38 45
210 36 45
243 26 90
2 101 90
31 214 45
142 69 90
236 200 45
144 145 135
286 9 135
107 32 0
209 125 135
94 82 90
99 263 0
215 15 0
178 138 0
70 43 45
191 21 45
155 59 135
72 206 135
55 2 135
103 280 135
39 76 0
295 243 135
15 203 135
244 261 45
88 275 90
7 131 0
137 69 0
264 21 90
129 218 135
109 132 90
81 263 45
234 46 90
39 128 45
84 32 0
35 246 45
36 220 90
194 180 90
248 183 135
172 90 45
216 263 90
79 47 0
58 238 45
103 39 135
17 46 45
294 150 45
242 126 45
110 225 0
106 14 0
172 60 45
128 255 0
89 68 0
241 137 90
33 274 135
57 271 135
230 151 90
133 184 45
206 75 90
175 82 135
282 80 45
224 276 45
64 202 0
273 222 0
160 98 0
59 270 0
92 95 90
183 152 135
91 207 0
103 246 90
61 4 0
106 23 90
38 270 90
183 109 0
94 172 135
237 90 90
246 193 135
25 165 0
292 77 90
4 100 135
109 247 45
22 244 0
100 56 0
186 145 45
220 71 135
207 220 0
17 205 135
37 149 135
69 183 135
267 258 90
230 164 45
246 196 90
136 78 90
240 185 90
23 260 90
45 177 135
133 128 45
139 171 90
137 149 45
68 54 45
126 41 90
267 55 90
15 252 0
259 217 45
44 12 90
219 246 90
209 165 0
175 281 0
198 271 45
84 222 45
41 14 45
109 82 135
130 46 90
128 272 135
29 150 90
269 277 90
231 108 45
82 185 45
107 84 90
114 162 45
217 135 90
188 104 45
91 8 45
9 230 45
34 170 135
242 54 0
40 261 135
280 177 90
125 77 45
256 192 135
91 173 90
36 278 0
3 187 45
182 156 45
211 200 45
258 220 135
227 174 135
117 134 45
229 191 0
270 131 135
54 103 90
73 159 135
113 149 135
294 127 135
194 6 45
249 98 0
196 148 45
137 13 90
232 215 0
162 40 45
259 48 45
99 178 0
214 156 0
71 216 0
179 142 90
262 295 90
279 55 135
207 44 135
151 225 45
252 233 45
240 203 0
297 180 135
163 48 135
208 43 135
162 181 135
225 296 0
46 159 90
138 223 0
296 89 135
61 80 135
121 171 135
292 143 90
251 50 45
87 242 0
288 229 90
244 203 90
207 135 135
220 284 90
24 223 90
48 191 90
198 201 135
171 111 0
180 188 90
26 209 135
180 141 90
203 260 0
18 93 45
215 256 135
84 130 45
218 210 45
144 89 0
124 22 90
72 275 90
173 218 90
102 211 45
190 8 90
152 110 45
129 108 45
226 292 0
26 205 0
142 105 45
299 171 0
151 234 0
92 175 135
3 89 135
68 159 45
173 223 0
13 228 90
285 267 0
287 219 135
238 151 45
95 67 0
295 6 90
124 112 0
63 189 45
45 5 135
240 264 135
94 261 135
102 247 45
109 283 135
107 273 0
236 151 45
122 147 90
288 85 135
138 156 90
2 251 135
195 295 0
137 261 135
149 264 0
47 265 90
21 152 0
72 126 90
291 77 135
234 299 45
272 174 135
292 14 135
127 15 135
73 124 45
207 252 45
88 125 45
52 63 90
266 65 45
116 64 0
114 193 90
62 26 135
107 62 0
227 176 90
180 111 45
144 271 45
12 152 90
186 95 0
47 278 135
96 214 0
178 10 90
41 97 135
157 55 90
52 119 90
119 5 0
128 152 90
37 89 135
63 249 45
264 45 0
74 264 0
26 170 0
25 37 0
25 148 90
273 49 90
217 92 90
198 115 0
216 138 90
134 187 45
159 263 90
57 219 45
136 95 90
171 103 90
257 153 0
229 65 135
37 291 45
118 238 0
244 294 45
102 77 135
289 173 135
59 42 135
148 29 90
232 233 0
168 128 90
133 24 90
280 189 135
192 243 0
89 122 135
172 170 45
54 38 45
235 298 90
171 131 135
22 106 45
214 117 135
77 80 90
242 253 90
97 252 45
111 107 135
219 21 90
248 127 135
172 133 0
189 112 135
42 91 90
221 214 135
291 32 45
244 128 90
248 59 0
76 280 45
233 173 90
259 265 0
299 142 45
126 61 90
8 27 45
169 159 90
83 147 135
202 118 0
292 39 135
148 156 90
106 280 90
34 187 90
218 205 45
126 134 135
125 235 0
5 247 0
205 254 45
295 285 0
43 14 90
40 54 135
295 297 90
106 67 90
86 39 90
74 190 135
139 278 90
180 137 90
47 112 90
94 90 45
233 166 45
261 39 0
215 171 135
44 232 135
86 253 45
267 109 135
294 181 0
207 174 0
284 22 45
290 72 0
67 181 90
161 10 90
41 38 90
182 151 45
27 155 45
52 250 135
223 128 0
111 106 0
83 281 0
180 61 90
111 198 135
141 134 135
56 20 0
215 74 45
25 65 135
11 14 90
186 214 0
251 46 135
26 239 0
192 245 45
209 144 90
232 94 135
183 111 135
75 147 135
186 112 135
288 11 0
249 264 90
214 184 135
122 298 135
221 252 135
240 262 0
224 190 135
133 174 45
287 75 45
226 227 0
265 180 45
239 116 0
131 116 45
269 19 0
5 155 135
47 241 0
253 32 90
129 116 90
178 2 45
263 7 45
18 20 90
263 104 0
21 278 135
199 253 0
32 150 45
80 101 135
287 168 0
72 108 0
99 183 0
40 158 135
93 120 0
115 158 135
32 124 90
147 215 0
44 38 0
203 18 135
105 198 135
186 176 90
151 50 45
153 59 90
185 126 0
280 65 135
216 262 90
278 227 135
209 223 45
254 247 0
133 233 90
186 295 90
70 35 45
247 238 90
107 195 135
73 256 135
6 147 90
182 100 0
208 173 0
193 293 45
249 193 135
138 91 90
203 122 45
83 173 135
255 10 90
271 189 0
199 48 0
126 224 45
125 143 90
163 217 135
212 32 0
296 149 0
46 154 0
297 114 45
71 127 45
193 64 45
266 21 45
192 52 90
82 174 135
120 207 45
37 203 135
194 57 0
105 69 0
61 96 135
248 49 135
278 289 135
169 15 90
224 295 135
68 28 135
139 157 0
209 140 45
61 145 135
203 281 0
48 255 45
157 104 0
34 203 0
86 69 45
53 138 90
153 186 0
133 255 135
126 33 90
38 46 90
150 246 45
229 67 90
251 182 90
186 109 90
118 259 45
177 284 45
151 160 135
70 272 90
23 234 135
103 134 135
109 279 90
193 37 90
259 118 0
38 215 135
109 212 0
52 56 45
260 220 0
267 267 90
143 66 0
226 31 45
254 151 0
66 213 0
132 300 90
60 170 0
118 278 135
273 69 0
172 116 0
41 195 45
251 33 45
288 208 0
264 206 45
165 220 135
85 106 0
129 240 135
288 259 45
27 192 0
281 285 0
189 221 0
102 246 135
23 225 135
28 271 135
99 176 45
21 126 45
45 90 0
63 53 45
248 150 135
157 24 45
150 181 45
225 273 45
136 278 45
81 214 135
268 252 135
188 163 135
108 243 90
241 127 0
111 214 0
265 248 0
49 289 0
248 34 0
219 228 90
171 44 90
51 211 90
55 20 45
279 133 0
168 34 90
89 33 135
277 206 135
292 263 0
139 241 135
242 163 135
282 228 0
15 90 90
189 141 90
97 84 135
185 159 90
45 227 135
25 38 0
201 262 135
41 204 135
274 185 90
147 178 135
206 146 0
131 219 0
54 280 135
155 278 90
197 120 0
154 92 90
187 199 90
64 183 0
229 54 135
26 292 135
116 184 90
54 18 45
181 215 0
295 107 90
173 262 135
116 59 90
191 165 0
273 156 90
136 165 0
233 180 135
182 69 0
263 194 0
85 93 0
110 292 90
99 233 135
258 105 135
230 85 135
128 270 45
51 113 45
289 59 135
18 223 45
264 104 135
56 69 90
155 54 90
139 44 45
111 114 135
115 248 90
268 287 45
296 71 45
20 120 90
76 161 0
2 7 135
13 147 0
133 14 90
229 218 0
110 246 135
231 192 90
80 232 0
125 55 90
138 293 45
22 24 45
116 91 135
83 121 90
236 22 0
245 247 0
219 195 0
174 296 0
156 282 45
276 160 0
247 27 0
108 131 0
41 96 135
51 163 0
245 131 90
218 193 135
107 118 0
134 284 0
13 179 135
178 219 45
256 293 0
30 102 0
121 144 90
79 238 90
3 142 0
196 22 0
220 246 135
137 169 0
67 6 90
169 234 135
163 197 45
188 59 135
156 58 90
95 102 0
146 163 0
20 182 135
131 235 90
200 28 90
233 291 0
157 220 45
10 85 90
284 286 135
283 116 90
192 241 45
134 20 45
70 26 135
240 252 90
254 283 135
165 6 0
59 286 135
137 17 135
32 243 0
131 63 90
272 42 45
14 223 135
145 195 0
128 169 90
39 286 90
125 161 90
17 166 0
76 158 90
109 70 45
50 191 90
11 185 135
224 178 45
19 165 0
204 130 0
278 272 45
210 90 135
246 183 45
46 236 45
47 259 0
126 147 90
149 293 0
1 28 45
220 299 45
81 140 0
251 260 135
110 140 45
87 124 135
256 99 135
93 226 0
168 175 135
178 156 90
41 142 135
93 70 90
167 6 90
269 208 45
232 263 0
205 243 45
200 278 0
38 32 90
84 174 45
96 274 45
213 264 90
230 160 45
255 118 135
281 191 135
11 142 0
78 202 135
41 134 0
26 182 45
48 25 135
110 114 135
123 149 45
40 265 45
44 119 45
191 123 90
190 190 90
284 207 45
188 118 135
52 167 0
115 97 0
91 91 90
92 53 45
2 135 135
173 21 90
295 277 45
131 38 135
5 208 0
49 21 0
291 183 135
96 278 0
31 48 135
117 262 45
18 33 90
217 224 45
83 213 90
183 39 135
120 144 90
157 109 0
213 106 135
183 77 90
254 55 90
300 40 45
73 196 90
199 203 0
290 206 90
6 26 0
217 298 0
192 170 45
241 294 45
66 9 90
107 292 135
35 121 0
276 167 45
265 129 90
126 203 90
71 72 135
87 65 45
39 63 45
139 95 45
287 37 45
198 229 0
220 145 90
28 290 45
120 134 45
9 155 135
200 203 135
43 63 0
160 125 90
283 164 135
115 106 90
176 130 90
197 292 0
226 148 135
142 244 135
160 169 45
282 266 0
237 58 90
143 201 135
87 270 45
266 128 90
205 237 45
18 13 90
244 141 135
73 9 90
203 73 0
154 129 90
172 274 0
234 111 45
197 158 45
100 78 90
174 109 45
206 125 90
269 72 90
201 245 45
41 243 45
146 293 135
138 244 135
9 36 0
207 38 0
59 19 90
2 131 0
198 203 135
277 179 45
18 286 45
38 231 45
140 280 0
67 152 90
282 83 45
232 58 0
145 227 135
39 82 135
21 153 0
261 204 135
10 111 0
132 21 0
8 65 45
294 285 45
115 222 45
73 244 0
48 224 0
136 275 45
29 148 0
129 291 0
125 97 135
61 112 90
115 107 45
266 37 45
131 152 45
91 291 45
262 11 45
189 51 0
144 148 45
271 51 90
196 262 135
289 38 0
73 97 45
273 181 0
126 124 0
71 180 0
17 288 0
56 173 45
112 272 135
285 114 135
86 137 135
123 28 0
63 138 90
105 28 135
82 64 90
273 86 0
44 269 0
131 191 45
224 165 0
120 1 45
193 162 135
269 300 135
277 13 90
183 293 0
24 224 135
32 54 45
33 279 90
212 140 135
140 20 45
169 202 135
189 150 135
215 232 135
266 139 45
174 204 0
21 36 45
193 118 0
296 254 45
8 173 90
9 157 90
96 4 90
1 185 45
106 237 90
11 47 0
283 210 90
111 145 45
24 130 135
69 22 135
41 88 0
21 164 90
84 187 0
220 47 90
154 25 0
130 270 135
160 242 135
184 109 90
180 196 0
113 225 0
98 275 135
229 165 0
45 198 45
275 269 45
91 85 0
35 14 90
96 132 135
282 46 135
84 190 90
241 129 45
106 219 135
231 191 0
229 259 135
16 166 0
80 164 135
287 76 45
90 157 0
127 292 90
236 219 90
3 52 135
153 193 135
66 177 90
40 44 45
43 201 135
159 36 135
23 265 0
22 14 135
157 38 45
279 24 135
297 47 135
86 216 135
179 288 0
17 80 135
75 261 0
126 138 0
153 4 135
188 256 45
165 137 45
113 174 90
146 63 90
230 234 135
228 37 0
205 25 45
2 183 135
77 186 135
48 233 135
141 278 45
264 105 90
180 171 90
261 270 0
138 143 45
85 200 90
138 45 0
241 108 90
118 206 135
259 88 45
157 178 0
243 18 45
90 282 90
95 198 90
130 85 45
219 239 135
153 151 0
173 158 90
200 25 45
5 119 0
151 260 90
292 34 0
208 273 45
37 272 45
238 29 0
211 241 135
167 234 90
270 280 90
273 189 45
179 124 0
239 33 45
228 66 45
289 119 0
246 87 45
236 167 135
174 53 45
39 49 90
50 272 0
208 249 135
210 290 135
23 172 135
277 254 0
188 86 45
58 194 0
175 56 90
236 143 90
69 257 90
180 12 90
28 207 90
33 29 45
167 73 0
264 33 135
247 224 135
83 87 135
104 201 0
148 234 45
167 280 45
150 176 0
203 51 45
27 45 45
185 6 0
133 232 90
284 274 135
238 21 45
79 273 90
293 251 45
23 109 0
250 262 90
25 166 45
96 252 0
202 85 45
154 88 90
226 256 90
241 163 90
247 257 90
121 270 90
290 114 0
215 189 135
123 177 0
134 234 45
108 224 90
200 120 0
22 140 45
87 214 90
70 187 0
204 33 90
175 195 0
52 247 45
19 71 135
172 102 0
300 96 90
142 130 0
215 129 90
247 165 135
73 229 90
19 218 0
163 299 45
167 82 90
223 266 0
147 13 45
170 234 135
149 288 0
195 113 45
204 55 0
41 124 45
241 82 45
121 273 135
55 177 90
189 3 90
50 243 90
95 89 45
238 85 90
288 178 90
175 266 135
171 202 0
258 182 45
45 241 135
9 150 90
10 141 0
126 106 135
251 204 135
299 5 0
11 165 0
62 144 0
171 178 135
186 4 90
83 143 45
128 195 90
268 196 0
82 162 45
227 25 0
24 135 90
241 236 45
295 133 135
71 55 45
299 150 45
136 105 135
169 267 135
165 209 90
193 57 45
279 131 0
138 227 0
159 85 45
266 291 135
56 283 135
133 106 45
258 73 90
90 172 0
51 240 90
179 171 45
173 283 45
55 250 90
13 246 135
155 75 0
176 114 90
208 102 0
159 154 45
77 149 90
177 15 0
48 49 45
47 298 90
243 73 0
55 59 90
131 251 135
138 75 90
245 5 135
158 191 135
241 95 135
258 298 45
52 203 0
50 96 45
242 230 0
85 288 0
133 150 90
122 272 0
236 113 45
275 44 45
61 119 45
258 50 135
44 126 45
168 109 135
121 113 45
60 121 45
1 53 90
49 160 90
91 269 90
277 54 90
257 69 135
87 240 45
254 19 90
56 271 45
256 121 45
10 162 0
198 267 45
168 28 0
11 77 135
184 205 90
9 146 45
37 238 135
189 44 135
255 2 45
197 175 135
20 202 135
251 17 0
121 222 45
75 94 90
84 7 90
163 93 45
232 127 90
230 209 0
263 251 0
266 281 0
43 289 45
134 195 90
194 292 135
14 93 90
198 45 45
255 34 135
121 42 0
220 123 90
204 144 45
155 4 0
33 197 45
293 227 135
257 113 45
127 3 135
257 244 135
206 92 135
161 209 135
202 174 90
224 167 90
11 198 90
102 222 0
279 191 45
59 281 135
286 55 0
15 70 45
237 299 45
289 268 45
55 65 45
265 221 0
79 59 0
106 209 90
155 202 90
143 21 135
100 273 0
77 182 90
33 74 135
257 260 45
109 21 135
237 243 135
35 40 90
52 112 90
73 112 90
265 21 0
191 32 90
274 187 135
164 234 135
227 133 0
102 283 45
219 137 90
16 223 90
143 145 135
203 30 45
33 264 45
190 66 45
248 274 90
52 145 135
116 296 135
135 70 45
102 141 45
132 115 135
26 114 0
115 270 90
47 224 135
115 48 135
259 247 45
118 92 135
291 96 45
127 269 45
133 148 135
17 299 45
71 27 45
27 267 45
282 61 135
99 163 135
172 73 135
32 165 0
56 218 135
86 138 45
43 68 0
147 54 45
135 171 45
277 145 90
102 179 90
242 236 135
249 4 135
278 73 45
2 27 45
18 76 0
38 159 135
90 31 45
191 101 0
261 178 135
291 185 0
158 79 0
284 131 45
284 299 45
225 157 90
240 133 90
213 170 90
230 37 90
200 59 0
238 253 45
160 122 0
118 148 135
272 83 135
90 62 90
1 85 135
168 43 0
285 171 45
131 76 45
69 289 135
241 297 135
153 217 90
123 204 90
48 241 45
287 205 135
93 290 135
166 203 90
253 267 0
272 182 0
211 294 135
300 292 0
35 278 90
112 98 0
224 256 90
241 98 45
250 168 90
180 300 45
123 164 90
253 33 90
61 207 90
232 76 90
70 150 135
238 106 45
209 248 90
207 26 90
167 184 135
74 96 90
102 296 45
36 165 135
146 206 45
118 266 90
165 229 135
182 240 90
109 110 90
67 140 90
20 57 45
87 34 45
100 233 45
179 140 90
3 72 90
54 160 0
146 292 45
192 69 135
270 130 0
189 84 90
158 297 0
114 282 90
78 85 0
26 160 90
205 145 90
16 225 0
297 244 0
264 70 0
91 67 0
119 7 135
52 107 0
53 4 135
1 262 45
46 220 45
2 221 45
222 58 0
248 279 90
101 16 45
281 204 45
128 252 45
161 212 0
90 45 0
296 30 90
256 10 45
222 136 45
22 233 0
240 148 0
185 62 90
249 142 90
145 44 45
37 275 90
197 65 0
71 233 90
14 201 45
45 139 135
86 217 45
144 108 45
132 120 45
295 197 135
121 15 135
169 69 90
154 282 90
8 201 90
48 12 90
31 206 90
177 126 135
299 7 0
149 3 135
278 11 0
129 114 45
102 14 0
63 289 0
296 252 90
55 144 45
151 262 0
21 238 135
24 259 90
247 34 0
142 263 45
23 295 90
101 125 90
151 219 45
249 272 0
94 222 0
8 21 0
93 87 90
255 110 135
235 279 45
278 209 135
74 248 135
105 49 135
271 147 45
56 64 135
3 37 0
108 184 45
65 92 135
257 19 45
132 126 0
59 202 135
220 82 0
115 147 90
159 259 90
54 80 45
6 104 135
253 224 0
198 129 45
88 193 0
70 61 90
114 93 45
257 248 135
23 266 90
190 244 135
127 223 0
226 15 45
268 171 45
20 200 90
45 6 90
198 100 90
226 19 0
168 295 135
91 143 135
62 44 90
142 31 135
170 163 45
225 186 135
248 118 0
202 135 45
229 286 45
300 170 45
113 194 45
40 74 45
262 174 135
222 192 0
78 63 90
116 205 135
173 235 135
112 271 90
185 174 0
32 209 45
206 245 45
132 5 45
162 287 0
291 2 0
157 45 45
288 80 135
143 229 135
104 270 0
29 113 135
72 250 45
283 69 45
99 106 90
282 41 45
8 220 90
101 188 90
92 262 0
28 243 135
124 269 90
130 36 135
185 35 135
248 107 45
118 4 135
191 211 135
150 109 45
264 255 90
86 194 45
10 222 0
88 263 0
149 35 90
298 25 135
16 171 90
105 258 45
288 28 45
105 187 135
265 222 135
136 223 135
173 201 45
279 193 135
287 63 45
44 202 135
8 258 135
240 117 135
227 35 45
101 239 0
297 73 0
104 93 90
79 202 90
62 242 45
228 207 90
122 78 90
25 107 0
91 114 90
170 140 45
273 93 90
135 111 90
48 130 135
211 185 45
46 34 0
292 22 0
65 229 90
224 226 135
168 155 135
264 169 0
269 224 135
13 105 45
34 220 135
288 247 90
121 43 45
255 282 45
91 110 45
199 269 90
124 267 135
87 256 45
3 185 0
243 212 0
174 21 135
222 257 0
80 273 0
130 286 0
149 161 90
85 161 45
46 219 90
296 173 135
63 10 90
250 254 90
107 194 0
8 276 135
285 26 45
230 74 45
266 143 45
77 279 0
289 171 135
190 18 135
186 94 0
70 299 135
112 166 135
164 99 45
127 205 90
270 261 135
76 203 135
273 250 135
228 297 90
124 153 90
166 292 90
270 64 45
244 48 45
91 201 45
132 132 90
83 258 135
151 187 135
116 288 135
126 195 0
226 166 0
228 281 0
247 262 135
273 126 135
95 154 135
131 34 45
153 251 90
226 100 45
12 179 135
8 136 0
284 39 0
205 265 90
10 75 45
120 224 0
132 287 90
291 44 90
299 93 135
205 108 135
197 75 0
65 33 90
64 108 90
128 159 0
76 117 0
202 68 90
215 46 90
186 209 0
172 34 45
73 131 45
217 141 0
58 200 135
300 56 0
280 99 0
61 163 90
254 274 45
110 24 45
65 137 0
199 8 0
266 90 90
20 290 45
283 283 135
25 149 135
162 62 90
205 192 45
109 150 0
247 2 45
51 101 90
49 170 45
37 69 45
201 73 90
275 143 135
50 51 135
294 288 0
97 195 45
87 81 135
276 89 135
15 184 45
110 43 90
280 151 90
42 76 45
110 265 45
29 217 0
50 240 45
148 185 90
69 94 45
82 158 0
242 278 45
288 114 135
264 225 90
271 58 0
113 273 135
131 138 45
43 120 0
182 184 135
12 173 135
244 299 0
225 163 135
51 282 90
274 4 135
26 219 0
270 57 135
170 223 135
265 145 0
62 129 135
269 63 135
52 48 0
166 104 90
221 143 135
250 120 45
19 55 90
212 35 0
26 289 135
249 258 135
71 252 45
181 295 0
121 203 135
157 95 45
164 185 45
48 52 135
18 262 45
44 160 90
220 141 45
225 47 135
78 34 135
5 60 45
147 43 0
12 5 135
179 146 135
192 71 135
31 69 90
209 29 45
294 236 0
21 180 45
245 201 135
287 108 0
67 208 90
125 125 135
240 45 90
167 134 135
145 184 45
16 210 135
30 187 90
139 140 90
28 62 135
175 128 45
140 222 90
117 239 0
156 219 90
217 97 0
99 145 45
220 126 90
211 69 90
132 69 45
4 82 135
59 13 90
291 49 135
237 235 90
143 199 90
284 218 45
24 102 45
289 180 90
283 52 0
138 145 0
162 126 45
81 255 0
274 101 0
287 244 90
179 283 135
124 134 90
114 59 0
296 267 45
212 75 0
138 204 0
220 179 135
36 47 0
113 66 45
72 86 0
196 68 45
123 297 135
139 78 135
83 177 45
129 125 45
291 102 135
34 286 0
136 290 0
11 187 135
146 89 90
200 298 0
121 225 45
260 42 0
219 257 0
188 150 135
67 75 45
111 4 0
259 287 135
241 18 0
203 249 0
81 13 0
172 264 0
61 12 0
27 161 135
71 22 45
111 51 0
237 36 135
89 148 90
100 104 135
164 66 135
267 188 45
282 231 90
241 21 135
207 57 90
230 94 90
273 80 45
256 132 45
147 292 45
86 248 135
214 161 45
160 289 45
147 116 0
231 272 0
208 129 135
74 201 0
225 202 90
249 165 135
144 217 45
130 162 135
