300 300
184 300 135
99 53 90
244 79 0
132 67 45
289 245 45
122 132 135
207 130 90
300 102 45
126 13 135
105 33 90
118 211 135
272 29 0
195 192 90
226 104 135
274 270 0
38 96 45
117 287 135
293 273 135
153 196 0
114 9 135
109 124 45
272 103 90
246 44 45
205 243 90
103 50 135
265 217 90
56 275 90
232 158 45
292 13 0
59 74 135
28 214 135
292 83 90
174 216 135
13 260 45
105 139 90
291 222 0
132 163 45
210 280 45
138 246 0
111 50 90
143 288 135
104 244 135
17 183 90
146 44 135
11 279 90
300 277 135
269 78 0
200 64 90
183 106 0
181 271 135
52 149 0
94 54 135
227 281 135
257 140 0
117 82 90
89 299 0
138 126 45
82 72 45
13 227 45
193 46 0
206 88 90
92 2 45
178 30 45
261 162 90
199 263 0
168 293 90
32 231 135
271 76 90
237 252 45
26 141 90
239 87 90
61 43 90
257 75 0
50 190 0
147 144 90
185 220 45
147 15 135
264 181 135
131 273 0
214 231 45
222 270 0
29 162 90
159 25 0
195 30 90
225 45 135
186 105 45
190 204 45
109 257 90
146 208 90
169 169 0
204 165 90
186 245 135
227 156 135
23 105 0
16 72 90
97 14 0
103 58 45
154 120 45
123 106 90
36 274 90
103 114 135
51 22 135
273 188 135
151 210 90
274 160 135
43 125 0
236 142 90
51 143 45
106 10 0
7 12 45
67 132 0
142 143 135
44 99 135
115 268 0
173 54 0
140 227 45
41 26 135
65 275 45
189 289 135
288 77 90
129 72 135
167 265 45
189 51 45
138 191 0
187 73 45
188 60 45
152 283 135
169 124 135
243 216 0
27 174 0
78 130 135
191 180 90
225 13 0
244 169 45
168 287 0
135 84 45
28 143 0
30 131 135
53 276 45
219 40 45
159 121 0
81 46 45
253 272 0
119 283 90
222 235 135
178 226 45
142 136 90
200 218 45
257 213 45
211 144 90
195 244 45
287 20 45
218 232 90
277 30 0
39 276 45
204 211 90
215 140 90
25 26 45
175 161 0
97 97 45
35 213 90
132 211 90
165 153 0
230 34 90
64 159 0
105 21 0
236 94 90
