5 5000
145 154 90
31 277 135
63 140 90
191 68 0
296 181 45
280 80 90
85 71 45
299 46 0
228 57 90
197 300 90
92 87 0
78 59 45
178 247 0
183 52 45
146 128 45
213 81 45
194 1 45
241 90 135
129 41 45
113 161 45
263 30 135
9 104 45
239 277 0
92 157 135
24 41 45
255 147 90
33 187 135
254 250 0
250 45 0
224 208 45
236 267 0
39 71 135
77 243 45
217 61 135
223 211 90
298 63 45
141 79 45
127 102 135
127 5 45
246 89 135
233 280 135
179 180 0
86 62 135
47 156 90
224 188 45
263 150 90
41 37 0
189 19 90
142 22 45
197 101 0
228 251 45
181 64 0
261 280 0
261 288 135
8 255 45
268 206 135
222 44 0
36 76 135
42 189 0
202 76 135
158 127 90
36 103 90
55 5 135
75 43 45
130 73 90
184 205 0
168 77 90
193 258 135
221 57 0
128 282 0
284 77 90
140 57 0
43 2 0
26 249 90
298 299 0
123 294 45
105 188 45
296 231 45
237 122 0
244 96 45
254 213 45
7 237 135
178 99 0
104 175 90
243 241 45
172 216 135
5 120 90
56 113 135
79 172 90
176 240 0
136 59 90
141 249 135
38 118 45
182 181 90
32 191 0
262 54 0
202 137 90
229 103 135
149 281 45
182 273 45
270 155 0
223 135 45
25 238 135
26 183 0
299 231 90
146 236 0
148 183 45
231 254 90
25 99 135
75 141 135
48 151 90
280 207 135
56 5 135
123 248 45
44 89 135
52 10 45
56 90 45
179 9 0
192 126 45
242 204 90
148 97 45
242 135 0
279 125 0
148 50 0
148 269 135
38 196 45
113 114 0
161 112 90
193 160 90
229 6 135
91 251 135
64 91 90
128 59 45
42 205 0
88 115 135
218 80 0
12 45 90
258 53 90
7 283 45
141 143 0
257 268 45
272 177 90
280 90 90
285 26 135
71 94 45
176 187 135
283 74 90
279 94 135
48 152 0
269 100 135
22 131 135
48 188 135
255 153 135
187 147 0
137 36 90
53 108 90
199 43 135
280 109 90
224 167 135
188 182 0
165 43 0
13 89 90
222 249 135
259 186 90
220 87 0
229 44 0
175 202 0
153 11 135
242 64 45
225 292 90
140 107 90
98 228 90
104 127 135
99 265 90
220 104 90
266 120 135
215 257 90
214 231 45
83 261 45
107 153 45
6 251 0
111 218 45
110 37 45
233 179 135
249 168 135
87 112 45
24 228 135
67 215 90
5 237 135
194 70 90
287 263 90
116 23 0
120 42 90
181 95 0
119 272 90
131 148 135
199 117 45
206 42 90
177 205 0
134 31 90
29 225 0
296 138 0
155 236 90
23 75 0
212 121 135
262 45 90
69 141 135
9 132 90
32 235 45
111 217 0
190 244 0
261 135 45
24 51 45
173 119 135
81 266 135
194 204 135
54 43 135
84 160 90
161 103 135
271 123 45
51 192 0
290 110 90
221 165 135
138 102 90
174 88 45
209 199 135
237 140 90
62 122 90
40 267 135
109 153 45
53 244 0
243 207 45
191 75 135
259 101 0
243 253 0
225 87 135
119 220 0
265 241 90
87 227 90
53 151 0
144 2 0
129 243 135
109 237 90
265 192 135
12 64 0
295 205 90
179 174 90
216 10 0
81 170 90
174 42 0
284 134 135
133 83 90
16 75 45
201 277 0
279 52 45
62 252 135
249 176 45
121 43 45
5 207 0
9 258 0
15 179 0
280 236 135
186 262 45
198 91 90
196 240 45
177 27 0
296 123 135
72 84 0
264 214 90
114 76 135
40 158 0
277 144 0
49 126 45
217 119 90
266 35 90
271 269 90
182 111 45
128 43 45
61 95 90
75 181 0
96 151 135
213 70 90
279 276 0
141 202 0
118 284 0
190 196 90
18 67 90
1 20 90
139 90 0
167 77 0
183 260 135
13 149 135
254 119 135
282 102 0
255 130 45
148 172 90
75 151 135
174 76 45
8 87 45
93 28 0
83 112 135
181 226 90
272 158 0
178 116 135
229 204 135
90 198 90
11 296 0
184 34 90
168 268 0
23 10 0
100 249 45
297 150 90
52 94 135
61 228 90
116 250 45
213 53 45
20 227 135
118 269 0
203 19 90
250 55 45
190 68 90
145 138 135
220 68 90
20 5 135
259 142 90
118 293 90
7 245 45
18 99 90
238 217 45
280 201 45
122 58 45
58 54 45
96 152 135
277 185 135
65 110 45
1 300 0
287 262 135
233 59 45
290 24 0
121 163 135
199 97 90
35 245 0
144 290 45
145 248 45
235 144 45
293 220 45
21 141 45
198 19 90
75 293 45
217 238 135
109 80 45
27 231 0
11 196 135
80 21 0
214 266 0
106 59 90
278 254 135
97 83 90
136 190 90
99 115 45
239 189 90
196 146 90
279 214 0
54 48 0
106 142 45
138 201 45
55 20 0
161 149 0
286 45 0
125 217 90
136 162 0
89 22 0
68 207 90
44 265 90
282 39 90
199 118 45
240 102 135
285 135 0
225 145 0
68 82 90
244 255 90
13 88 0
297 77 135
16 61 45
54 285 0
69 97 45
258 44 45
285 69 0
163 207 90
41 192 45
157 266 45
186 60 0
96 150 90
43 173 90
165 93 0
129 255 45
293 46 0
166 171 90
212 278 0
9 218 90
215 279 135
221 290 90
201 43 135
288 122 135
70 6 90
25 169 90
27 219 90
74 241 90
296 168 90
257 18 45
233 169 0
3 20 45
99 235 45
109 113 90
202 257 0
278 240 90
276 164 0
40 68 0
284 242 45
97 256 45
66 42 0
118 94 0
261 31 0
152 160 135
236 35 135
182 230 90
300 108 45
234 69 0
138 219 90
42 270 135
146 288 45
114 105 0
212 276 90
175 275 90
9 254 135
258 256 135
78 104 135
197 80 135
168 85 0
43 287 0
297 7 0
77 5 135
282 251 0
159 289 90
134 271 135
203 250 45
256 119 45
229 51 45
235 190 135
47 112 90
154 54 90
22 114 90
186 255 90
291 144 0
38 152 135
106 37 135
215 115 90
82 258 90
221 171 90
67 102 90
22 278 90
112 226 45
62 97 90
154 234 0
89 85 135
150 122 45
160 118 90
283 264 45
95 125 0
168 188 45
237 263 90
263 112 90
267 233 90
1 223 90
40 59 135
193 126 45
223 226 135
253 236 90
15 224 135
279 130 90
124 127 135
270 289 90
268 12 45
229 65 45
274 90 135
58 20 0
29 161 0
280 28 90
64 128 0
77 188 45
150 231 135
290 182 45
120 92 90
275 140 0
2 30 0
188 205 0
270 144 0
64 100 135
264 268 90
31 14 135
124 207 90
48 67 0
253 122 0
220 249 135
1 284 135
18 45 0
108 241 45
282 199 45
23 252 45
136 68 0
4 254 135
83 136 45
154 227 90
244 300 90
54 178 90
194 16 90
158 99 45
170 225 135
197 22 135
14 290 90
39 206 90
283 245 135
105 140 0
283 234 45
285 47 135
57 30 90
154 236 45
37 61 135
209 211 90
142 66 135
86 176 135
124 300 135
162 196 135
87 270 135
124 7 0
229 127 45
209 127 0
73 42 0
13 123 45
177 30 90
282 240 45
113 128 45
204 31 135
99 81 135
134 40 135
161 37 90
30 182 135
292 294 135
162 249 45
61 43 90
5 269 135
73 167 135
252 239 90
140 88 90
275 30 45
187 84 45
146 48 0
275 196 135
39 240 90
141 19 45
151 6 0
244 26 45
161 288 135
84 120 45
104 164 90
196 259 135
108 105 90
93 9 0
221 169 0
57 94 90
189 23 135
118 20 135
134 188 135
30 105 0
42 253 0
267 97 0
263 269 0
33 32 135
152 5 0
87 215 0
84 129 45
116 160 135
132 154 135
253 199 0
216 115 0
30 109 135
131 14 0
64 107 90
129 118 0
296 219 90
192 85 0
232 113 0
179 120 45
149 270 0
246 43 45
264 228 45
236 275 0
229 300 45
228 199 0
165 272 0
17 121 90
122 82 0
153 287 90
28 111 45
135 242 45
228 91 45
287 84 0
125 272 135
229 153 45
183 62 0
128 249 135
272 262 90
21 18 45
51 61 45
202 113 90
17 86 45
88 77 90
85 213 0
202 206 135
159 275 0
127 19 90
242 39 135
280 264 0
250 43 135
253 23 45
222 273 135
141 23 90
116 86 135
152 24 45
195 258 135
106 264 135
116 183 0
36 182 45
144 110 90
289 139 135
160 156 45
268 7 135
74 245 0
215 170 135
8 274 90
247 225 45
103 264 135
34 71 45
198 31 135
18 254 90
237 48 90
8 167 90
41 144 45
123 86 0
157 83 0
156 108 90
88 152 45
49 269 90
136 215 0
55 149 135
40 191 45
217 253 0
150 47 90
43 244 0
27 102 135
89 186 135
288 11 90
254 139 0
86 14 0
209 22 135
126 214 90
196 254 45
211 171 90
244 191 135
61 85 45
252 91 135
215 47 0
181 63 0
222 187 0
17 98 0
281 290 0
213 262 90
106 145 45
123 297 135
141 272 0
102 182 45
45 31 135
66 142 45
135 208 90
248 123 0
52 203 90
226 265 0
125 191 135
219 62 135
78 108 90
230 20 135
242 175 45
177 92 135
64 148 45
61 279 45
235 42 45
292 113 45
83 95 90
5 300 90
98 193 45
106 82 0
228 76 90
120 121 135
81 286 90
53 79 45
251 254 90
278 126 90
86 261 90
45 41 135
37 200 135
35 29 90
125 280 135
210 132 90
40 232 45
177 35 90
133 84 90
230 180 0
294 248 90
186 234 0
234 119 135
23 234 135
203 65 0
2 8 90
223 21 90
9 49 90
46 126 135
99 204 90
227 250 135
4 237 45
107 8 90
281 173 0
2 39 90
115 288 0
161 169 0
148 49 45
101 238 45
100 240 45
259 125 0
152 266 45
81 39 135
270 19 0
37 157 90
173 217 45
258 29 135
243 213 90
260 236 0
140 187 45
262 83 45
166 202 90
10 288 0
161 27 0
61 30 45
211 278 0
209 140 45
264 51 0
30 146 0
230 240 90
144 168 90
103 220 0
95 209 90
2 182 90
98 237 90
193 219 135
166 284 0
241 192 135
74 81 90
135 261 45
170 245 0
12 262 45
129 20 0
21 211 90
124 209 90
281 212 90
121 68 0
300 271 135
250 178 135
289 277 0
167 118 45
88 241 0
20 157 90
34 194 0
262 241 0
14 23 45
30 178 90
134 119 135
229 258 90
70 254 0
180 96 135
48 240 0
23 236 45
189 255 135
12 44 45
42 201 45
267 266 0
23 168 45
245 15 0
216 161 45
226 78 45
50 77 0
244 149 0
35 254 90
161 141 45
23 7 135
12 195 90
170 88 0
64 80 90
64 81 45
153 168 45
243 261 135
249 257 90
278 253 45
162 241 0
300 30 0
55 22 135
109 161 135
216 67 135
198 205 45
60 182 0
61 150 90
63 58 0
70 174 45
190 49 90
167 74 45
2 295 0
127 285 90
99 68 90
182 186 135
186 25 45
202 281 90
184 111 135
229 140 45
270 124 0
144 48 45
131 152 45
295 56 90
126 75 90
185 243 45
32 273 45
268 74 0
150 165 45
289 177 90
224 214 45
58 44 90
250 123 90
169 177 45
256 95 0
163 33 45
283 167 135
116 105 90
149 202 135
18 129 90
92 25 135
298 262 135
208 280 45
77 270 45
196 49 90
124 177 90
72 185 0
108 266 90
175 173 135
38 240 45
181 126 135
222 253 90
202 46 90
291 267 45
83 25 135
119 244 90
223 287 0
147 45 45
64 39 0
70 15 45
79 180 45
199 240 0
187 110 90
276 68 90
138 142 0
35 259 0
203 92 45
277 236 0
275 68 0
124 293 135
108 140 0
70 238 90
220 130 0
170 239 135
238 222 135
296 104 0
214 110 135
23 266 135
121 219 45
179 158 90
269 272 90
7 80 45
174 280 90
236 255 45
115 70 0
28 289 0
154 262 135
76 51 45
141 212 90
207 70 0
61 219 0
221 277 135
180 44 0
52 277 90
119 180 45
64 1 135
44 132 45
91 25 135
196 5 45
9 166 135
187 271 90
164 15 45
254 157 0
109 133 90
114 155 135
253 245 0
298 70 0
147 106 0
216 164 45
88 133 135
18 98 0
127 201 90
210 118 90
26 237 0
14 155 0
252 291 135
23 82 135
203 154 90
279 282 135
20 1 0
190 222 90
219 22 135
11 229 45
255 142 45
136 131 45
94 297 135
34 147 45
213 107 135
204 96 0
166 203 90
60 52 45
209 154 0
136 39 90
58 285 135
50 285 0
187 167 90
252 121 45
239 234 0
197 198 0
207 152 90
244 213 0
106 152 135
41 63 45
246 14 90
106 203 135
293 98 135
3 94 90
100 266 135
149 97 0
166 47 90
135 18 0
265 248 90
281 209 0
230 120 90
134 65 45
70 248 45
94 57 90
196 82 135
107 101 90
209 164 45
30 190 45
38 4 135
81 81 135
25 33 0
7 24 0
218 295 135
70 124 90
196 106 45
296 273 45
274 25 90
262 260 45
269 206 0
56 170 135
164 32 45
140 108 0
240 238 90
184 90 90
164 88 45
35 25 135
263 214 90
237 234 0
72 213 0
66 194 135
59 295 135
217 236 90
176 97 90
213 198 90
228 134 135
291 29 90
265 95 90
264 280 45
61 247 45
49 8 90
66 287 90
262 232 90
59 137 135
194 168 45
216 234 45
12 59 90
169 137 0
186 208 135
32 59 90
256 144 90
137 169 90
271 73 90
210 85 0
288 245 0
277 299 90
122 296 135
27 42 135
101 96 135
85 149 90
260 14 90
203 181 135
268 65 45
207 93 45
198 32 135
273 96 0
205 241 0
117 249 45
80 3 135
216 4 90
248 196 90
226 23 0
115 79 135
21 74 135
225 136 45
56 169 0
5 175 135
271 228 0
149 8 45
289 137 90
219 300 0
100 262 135
232 216 135
179 274 45
139 144 90
158 42 135
189 40 45
79 234 45
261 108 135
95 77 45
272 274 45
244 195 45
13 7 45
94 295 135
39 15 135
186 300 0
200 47 135
21 79 45
97 134 135
176 230 45
103 128 45
114 40 45
154 99 135
38 176 0
130 134 90
165 92 45
243 281 45
11 259 45
157 152 45
136 208 135
34 198 135
166 4 0
292 262 135
201 150 0
237 221 45
14 44 90
168 46 0
8 94 135
25 106 90
187 2 90
182 276 90
286 250 45
78 277 45
42 169 45
80 229 0
284 154 90
215 247 45
166 167 45
133 229 0
243 271 135
291 247 90
127 161 90
115 172 0
278 8 0
238 252 90
76 209 0
115 289 135
246 54 90
137 168 45
244 179 135
293 246 135
1 297 90
21 133 45
117 36 90
82 296 90
183 40 135
109 79 135
82 77 45
59 188 45
93 89 0
80 213 90
196 212 45
79 5 90
81 28 0
165 202 0
276 12 45
34 97 45
1 137 0
136 187 0
7 38 0
226 56 45
97 172 90
118 252 45
241 233 135
176 185 135
6 184 0
179 221 0
92 255 45
33 89 90
62 114 45
90 214 135
188 213 45
192 195 0
235 276 45
157 240 0
207 62 0
212 147 45
160 138 90
193 266 90
110 282 135
45 196 90
275 37 135
113 130 90
251 57 135
206 200 45
233 165 90
147 19 90
106 138 135
250 266 135
141 92 90
296 243 0
21 271 0
246 47 90
113 205 45
298 290 45
134 178 90
101 65 135
43 285 0
255 271 0
209 239 90
181 195 45
217 82 0
118 161 135
35 185 90
207 37 135
177 221 45
26 241 90
32 132 45
19 202 90
33 121 135
247 206 90
111 150 0
87 278 90
248 33 135
220 122 90
193 161 0
17 127 0
112 34 0
79 33 90
262 295 135
23 293 0
221 78 135
124 41 45
29 50 0
289 88 45
31 23 45
209 131 45
50 141 90
278 227 135
122 28 0
241 299 90
193 274 45
76 225 45
34 225 45
116 73 90
36 65 135
194 148 135
131 17 90
87 130 90
279 12 135
70 107 90
269 70 90
103 106 135
46 66 135
85 219 135
20 238 90
249 131 45
220 192 0
231 190 45
61 236 90
177 261 135
8 185 45
83 80 0
143 220 45
164 23 0
127 180 90
181 125 90
55 52 0
68 243 135
138 147 90
288 77 0
34 264 45
254 199 135
298 208 90
153 256 90
242 125 135
105 17 0
51 276 90
14 37 0
34 166 45
106 286 0
288 190 135
296 82 135
130 116 45
38 130 135
80 147 0
18 289 45
158 83 135
145 285 0
199 147 135
77 222 45
177 9 90
235 250 90
221 18 90
129 102 135
224 190 90
6 202 135
281 20 45
23 67 135
181 194 90
112 145 45
105 160 90
209 23 90
8 190 0
219 84 135
110 292 45
165 268 90
58 9 90
230 21 45
16 249 135
133 40 45
245 222 0
21 172 45
48 274 135
288 150 45
74 212 0
286 91 90
224 119 90
178 45 45
204 226 90
85 142 0
101 122 0
296 144 0
224 126 45
190 71 135
62 259 135
234 92 0
95 219 90
196 142 45
271 31 90
231 12 90
188 224 0
240 20 45
95 141 45
78 26 45
152 242 90
263 27 90
45 184 45
219 45 45
207 279 0
91 40 135
289 298 135
80 45 45
253 80 45
165 156 135
300 248 0
13 272 90
94 126 0
256 258 90
108 4 90
153 269 135
111 156 135
193 182 0
270 121 90
14 145 45
113 160 90
193 247 45
175 219 45
69 96 135
300 86 135
9 175 90
235 65 45
36 120 135
102 18 90
39 16 45
76 7 0
31 116 135
279 132 90
221 140 0
40 58 45
241 120 135
95 100 90
41 10 135
263 11 0
202 89 0
138 121 90
103 204 0
218 155 0
267 34 0
96 300 45
294 216 0
105 259 90
115 62 0
71 59 0
178 259 90
260 153 135
179 199 135
141 294 0
183 184 0
192 204 135
101 112 45
183 221 0
299 205 90
126 164 90
237 52 45
282 68 45
201 268 0
159 38 135
271 213 135
16 19 90
257 20 135
202 264 0
116 36 0
285 192 0
7 168 135
241 178 0
200 43 0
247 179 90
162 50 135
191 257 135
61 157 135
64 62 90
215 116 90
228 157 135
267 143 135
86 99 90
48 191 0
230 127 90
290 11 45
147 143 45
34 45 0
282 48 135
138 200 90
158 264 0
52 264 45
83 207 135
180 22 135
193 95 45
4 95 0
168 60 90
177 203 90
50 94 90
167 6 90
7 98 0
259 207 135
91 272 135
188 276 90
281 5 0
33 295 0
200 273 0
47 159 45
113 22 45
72 160 0
36 238 0
200 245 0
215 38 0
223 10 0
267 251 135
294 227 0
241 280 90
57 45 0
247 80 45
150 40 135
197 70 0
6 254 0
174 228 135
292 252 0
118 15 90
2 102 45
117 239 135
151 154 90
43 163 45
94 10 0
226 90 135
163 71 90
238 74 0
260 47 0
114 287 90
66 50 135
175 185 45
111 283 135
45 202 45
64 5 0
254 46 0
115 223 45
82 52 0
135 190 135
161 116 90
27 21 135
43 278 0
275 294 90
90 170 135
251 218 0
266 203 90
246 158 135
21 205 90
263 157 45
151 215 135
11 76 45
169 221 0
205 65 45
165 26 135
194 23 135
101 150 90
236 249 0
231 278 0
250 191 90
295 57 135
118 90 0
203 121 90
200 247 0
71 32 135
146 103 0
36 277 45
86 169 135
232 41 0
240 224 45
248 138 90
107 224 90
97 27 90
213 281 90
277 38 90
200 261 45
102 233 135
194 137 45
72 79 45
28 277 135
137 240 45
36 102 45
200 286 135
119 291 0
29 229 90
114 297 0
297 190 45
107 271 45
139 223 0
179 102 135
55 190 90
148 68 90
126 13 45
10 267 135
183 82 135
177 54 45
142 62 0
26 66 0
8 163 135
78 131 0
19 177 45
50 145 45
299 181 45
227 64 135
88 146 135
40 106 135
158 261 0
278 297 135
130 232 135
63 202 90
231 102 0
204 55 135
42 110 90
230 265 45
215 91 135
247 203 135
284 25 0
56 86 90
106 242 135
144 258 90
101 259 90
52 136 90
253 14 135
137 30 0
39 122 0
278 292 45
195 226 45
162 161 45
33 5 135
57 243 135
207 186 135
199 54 90
3 150 45
195 233 0
193 55 135
242 171 45
35 68 0
156 181 90
126 176 45
142 199 135
17 164 135
232 1 135
32 168 90
80 178 45
10 155 135
96 158 135
24 248 0
140 14 90
112 105 90
67 268 90
62 214 45
4 294 90
91 18 90
266 95 45
125 185 135
156 204 135
92 155 135
272 115 45
117 248 90
105 19 45
71 135 45
233 214 45
211 95 90
201 275 45
255 17 135
291 22 45
74 4 135
11 194 45
231 72 90
47 10 90
52 90 0
102 38 45
140 237 90
89 269 90
237 93 135
256 256 90
290 195 0
105 47 135
198 177 0
196 167 0
17 39 45
206 286 45
203 10 45
94 247 135
81 249 90
204 185 135
173 80 90
149 75 45
100 145 90
76 284 45
104 91 45
77 84 0
213 110 135
12 168 45
172 132 90
113 176 135
298 178 45
161 26 45
139 232 45
285 208 135
8 217 135
72 106 0
130 230 45
119 35 90
16 146 135
139 48 135
180 24 45
289 58 0
178 13 45
96 184 90
184 106 45
113 123 90
3 2 135
100 265 45
280 145 135
102 71 90
133 2 45
271 207 135
240 10 90
157 186 135
251 134 45
29 242 135
147 235 135
251 241 45
153 42 135
12 147 135
97 212 135
55 238 45
112 192 45
163 161 135
183 124 45
300 289 45
96 285 0
283 186 90
19 199 45
281 167 45
152 203 45
296 137 135
247 181 0
257 290 90
181 155 135
278 85 90
52 146 45
74 229 45
48 167 90
126 72 45
67 87 0
26 119 135
142 139 45
69 11 90
172 40 45
36 205 90
109 74 90
113 89 135
146 248 135
196 141 90
110 258 135
55 239 135
179 135 90
71 17 90
256 89 0
254 253 45
126 98 45
158 198 135
280 225 45
62 43 0
54 29 135
297 254 45
260 265 90
56 117 45
80 38 135
17 255 135
270 218 0
204 266 90
209 78 0
276 283 90
227 84 0
188 128 90
140 44 45
17 284 90
140 230 45
222 221 0
263 133 135
146 203 0
204 262 90
116 283 135
271 99 90
124 4 0
8 108 0
239 60 45
51 239 90
216 89 90
108 203 135
300 209 90
36 10 135
56 197 135
240 196 90
183 121 90
192 170 0
23 227 45
209 85 135
124 189 0
240 57 0
186 101 135
119 234 45
125 103 90
268 291 90
124 71 90
196 237 45
128 259 90
211 209 135
229 180 90
240 71 45
84 10 0
204 32 90
175 151 90
251 244 0
300 17 45
102 100 0
296 97 0
106 35 0
109 111 90
223 132 135
181 232 45
114 79 0
38 24 0
163 43 45
15 281 135
210 66 45
159 165 0
272 32 0
122 6 90
58 12 45
80 269 0
257 296 90
107 261 90
83 46 135
180 47 45
21 90 90
3 198 135
198 52 90
161 127 0
173 129 90
227 221 0
172 11 90
59 232 90
300 76 0
197 152 0
202 23 90
1 270 0
196 60 0
217 268 45
231 187 90
183 180 45
179 30 45
185 138 45
290 10 0
44 38 45
117 9 90
283 153 45
274 168 45
230 217 0
227 160 135
118 194 45
81 46 0
146 264 90
252 199 0
121 203 90
224 229 135
121 178 45
196 198 45
300 235 135
217 124 135
208 135 135
269 11 90
40 16 135
253 125 90
240 185 90
67 137 90
205 78 90
296 4 135
166 266 90
160 245 90
252 42 90
191 147 90
292 96 0
42 141 45
236 81 135
243 268 90
8 258 45
184 293 45
146 54 90
250 203 90
215 19 90
251 75 135
1 93 0
157 129 0
174 5 135
48 28 135
146 115 0
288 62 0
173 65 45
48 270 135
98 246 135
181 62 0
270 40 45
63 83 90
150 153 0
130 208 90
175 35 135
97 184 135
242 249 0
189 286 0
216 275 135
118 93 90
51 260 135
228 288 0
188 252 90
210 91 90
218 152 135
50 15 45
39 208 45
73 80 90
72 256 90
208 64 90
197 94 90
235 199 135
189 227 0
198 281 0
189 271 135
247 195 135
38 193 45
93 242 90
24 260 90
119 224 0
57 160 0
58 111 90
161 137 90
118 84 0
253 35 135
17 173 0
71 155 135
241 40 45
99 194 0
30 227 90
17 101 135
33 13 0
277 264 45
156 180 45
41 141 135
167 223 90
139 183 0
89 222 90
202 35 45
245 91 90
146 69 0
64 129 0
52 151 90
293 165 0
229 299 45
24 239 135
293 123 45
196 189 0
120 23 0
144 120 0
153 169 90
84 165 45
150 43 45
176 75 90
268 29 0
64 59 90
31 255 135
239 36 90
107 117 135
93 20 45
279 117 0
174 176 45
242 290 135
132 64 45
79 221 135
155 300 135
190 128 45
186 298 90
241 215 90
286 167 90
102 199 45
261 104 135
115 263 0
273 5 0
66 248 45
251 41 90
290 281 0
91 160 135
191 220 135
10 211 45
93 53 135
85 63 90
233 257 45
219 130 0
292 167 0
144 130 45
44 74 90
25 88 0
19 284 135
275 155 45
50 249 135
27 226 90
254 151 45
146 89 0
242 257 90
79 266 0
299 253 90
66 220 0
116 58 0
83 49 0
186 231 0
135 201 45
261 126 135
248 184 135
222 180 135
105 223 135
204 252 90
231 49 135
265 258 45
239 37 45
51 68 45
28 101 135
186 128 135
71 245 0
196 47 90
37 244 0
217 271 135
162 297 135
259 205 90
108 10 90
171 116 135
233 242 90
58 189 0
1 185 90
187 144 45
278 99 90
294 174 45
39 166 90
88 71 135
189 178 135
226 168 90
80 114 45
159 212 45
196 203 135
77 12 45
79 216 0
35 71 90
2 194 135
223 20 90
225 270 0
180 257 45
118 108 90
172 2 45
7 232 0
195 259 90
282 235 90
192 212 90
180 68 0
10 83 0
248 244 0
34 217 45
212 108 90
287 61 0
54 235 45
6 20 135
59 122 45
191 189 0
125 170 135
3 263 90
200 44 135
184 295 45
77 128 0
37 138 135
93 158 45
297 40 45
286 268 0
185 207 90
142 260 90
214 267 135
6 107 135
123 102 0
157 275 90
286 220 45
132 209 0
36 222 90
105 290 0
105 260 90
57 43 0
196 163 45
147 32 45
134 114 45
125 12 0
127 56 135
197 20 0
224 38 90
179 245 0
104 51 135
235 20 90
165 257 0
117 241 90
93 139 135
220 117 135
57 268 45
242 155 0
102 103 45
240 297 90
148 122 90
56 103 45
44 140 135
177 164 90
150 282 0
156 64 135
145 53 0
286 70 0
237 218 135
285 212 45
187 184 45
256 178 135
70 126 135
102 170 0
162 191 90
218 207 135
65 171 90
222 280 90
56 74 90
31 115 90
261 218 135
133 241 90
46 245 90
18 204 90
79 181 0
128 15 0
219 43 45
29 48 135
192 194 45
51 231 90
258 107 0
114 11 45
144 257 45
134 83 0
211 118 135
53 229 90
175 74 135
248 45 45
168 165 45
288 233 90
131 163 135
177 183 0
27 118 45
218 275 0
167 44 90
170 234 90
66 245 0
114 181 135
83 154 45
14 185 135
48 212 0
2 136 45
269 208 135
299 40 0
69 218 0
169 56 90
104 47 45
197 282 90
216 253 45
159 92 90
70 268 0
59 246 135
173 79 135
245 126 45
199 57 135
146 120 45
247 205 45
131 138 135
182 169 0
187 277 0
264 147 90
243 13 90
289 103 135
288 200 0
276 66 45
217 78 45
251 230 0
164 2 90
1 173 90
76 89 45
255 88 45
4 119 45
31 36 135
58 60 135
129 144 45
142 106 45
235 243 45
189 35 45
122 184 135
255 202 90
161 101 90
66 171 135
53 139 90
105 233 90
214 63 90
174 189 135
238 50 90
276 69 90
76 182 135
244 237 90
151 285 135
22 108 45
256 247 45
140 150 135
159 30 0
206 142 90
64 240 135
83 290 90
30 151 135
272 133 135
226 292 0
241 191 135
255 9 0
72 150 135
32 28 0
158 299 45
145 97 90
21 192 90
138 160 0
102 253 0
137 190 135
206 117 45
246 162 135
39 289 0
238 171 135
14 52 90
59 4 0
277 250 0
201 215 45
110 240 45
229 49 135
207 216 45
210 196 0
142 234 0
197 245 90
98 37 135
166 88 135
137 125 135
78 254 90
218 289 90
273 189 90
146 97 0
29 255 135
53 102 135
109 278 45
175 98 45
53 51 135
165 193 0
178 62 90
290 88 45
184 271 90
113 257 0
284 51 45
274 34 0
75 205 0
22 295 0
126 16 0
241 9 135
291 28 0
83 105 90
136 33 135
229 227 0
38 139 90
